"Protein.Group","Protein.Ids","Protein.Names","Genes","First.Protein.Description","b1_9_rep","b1_7","b1_2","b1_3","b1_6","b1_pool","b1_5","b1_1","b1_9","b1_4","b1_8","b1_10","b2_4","b2_8","b2_6","b2_9","b2_3","b2_1","b2_10","b2_7","b2_2","b2_pool","b2_5","b2_9_rep"
"P55854;P55854-2;P61956;P61956-2;Q6EEV6","P55854-2;P55854;P61956-2;P61956;Q6EEV6","SUMO2_HUMAN;SUMO3_HUMAN;SUMO4_HUMAN","SUMO2;SUMO3;SUMO4","Small ubiquitin-related modifier 3",NA,NA,13460.8,3833.85,1736.27,2096.89,NA,5453.87,NA,3122.09,468.258,NA,NA,NA,NA,NA,4788.85,5600.21,NA,1649.92,6024.94,3509.88,NA,NA
"P55884;P55884-2","P55884-2;P55884","EIF3B_HUMAN","EIF3B","Eukaryotic translation initiation factor 3 subunit B",9192.93,NA,26080.4,4816.96,NA,10187.1,4516.64,9634.29,5387.85,6377.21,NA,NA,7255.67,NA,3553.65,2619.55,11333.5,9839.63,NA,4300.34,6511.32,9573.71,2674.09,3972.52
"P56134;P56134-2;P56134-3;P56134-4","P56134-2;P56134-3;P56134-4;P56134","ATPK_HUMAN","ATP5MF","ATP synthase subunit f, mitochondrial",6481.7,2150.47,46518.1,21635.8,4000.12,22218,25723.8,6408.78,NA,3702.5,NA,NA,NA,4831.68,NA,NA,16491.8,15487.9,NA,NA,4054.31,19416.9,5035.86,5132.74
"P56192","P56192-2;P56192","SYMC_HUMAN","MARS1","Methionine--tRNA ligase, cytoplasmic",NA,7280.5,18550.7,5123.25,NA,4256.27,NA,11870.3,NA,2297.38,NA,NA,NA,NA,NA,NA,8391.87,6643.12,11584.9,NA,NA,3077.52,NA,NA
"P56202","P56202","CATW_HUMAN","CTSW","Cathepsin W",NA,NA,3388.33,3194.95,NA,9916.47,NA,3689.87,NA,858.004,NA,543.439,NA,NA,NA,NA,2375.01,3270.34,NA,NA,NA,3469.39,NA,NA
"P56377","P56377-2;P56377","AP1S2_HUMAN","AP1S2","AP-1 complex subunit sigma-2",NA,NA,16459.6,1490.65,NA,7903.49,7414.4,7442.22,NA,2116.53,NA,NA,7030.58,NA,NA,NA,2708.04,4098.38,NA,NA,NA,2749.86,NA,1135.15
"P56378;P56378-2","P56378-2;P56378","ATP68_HUMAN","ATP5MJ","ATP synthase subunit ATP5MJ, mitochondrial",NA,NA,6869.76,1828.39,1295.58,NA,1140.67,3001.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,6542.49,NA,NA,NA,NA,NA,NA
"P56385","P56385","ATP5I_HUMAN","ATP5ME","ATP synthase subunit e, mitochondrial",8320.41,3057.65,99940,11539.7,3679.26,15202.4,21296,15286.8,5690.15,3604.44,2571.04,5328.68,31466.7,NA,NA,NA,22858.1,28618.1,NA,NA,6044.03,14802.7,3890.82,NA
"P56470","P56470","LEG4_HUMAN","LGALS4","Galectin-4",NA,NA,NA,NA,7303.53,8739.18,NA,NA,18170.8,NA,NA,NA,8221.56,NA,5807.36,NA,NA,NA,NA,6140.71,10680.7,NA,7842.23,NA
"P56537","P56537","IF6_HUMAN","EIF6","Eukaryotic translation initiation factor 6",15079.1,NA,25598.5,NA,NA,NA,3581.18,4458.56,NA,15186.3,19527.6,NA,5218.72,2749.72,8967.06,13830.5,13078.6,19044.6,NA,NA,13336.1,NA,NA,15380
"P56556","P56556","NDUA6_HUMAN","NDUFA6","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6",3957.11,1704.82,16329.1,3097.57,NA,5665.32,NA,2604.55,NA,2105.3,NA,NA,NA,1071.78,NA,NA,NA,2742.89,NA,NA,NA,5498.45,821.755,NA
"P57075;P57075-2;P57075-3","P57075-2;P57075-3;P57075","UBS3A_HUMAN","UBASH3A","Ubiquitin-associated and SH3 domain-containing protein A",NA,NA,50031.9,16848.9,NA,NA,5209.41,NA,NA,4096.88,NA,8306.09,6990.59,NA,NA,NA,10816.3,13208.2,NA,NA,4368.38,9243.27,6469.75,NA
"P57088","P57088","TMM33_HUMAN","TMEM33","Transmembrane protein 33",5830.08,5363.53,76435.6,11290.7,NA,9876.26,16922.9,16506.6,4737.57,9194.72,2026.63,9278.41,13669.9,20726.6,4763.64,27988.2,16897.6,20728,16475,NA,4950.59,12688.6,3334.95,22484.4
"P57103","P57103-2;P57103-3;P57103-6;P57103-7;P57103","NAC3_HUMAN","SLC8A3","Sodium/calcium exchanger 3",NA,5920.17,12718,NA,NA,NA,7651.55,7719.84,NA,8999.31,NA,NA,NA,NA,NA,NA,7527.28,4291.02,NA,NA,2246.06,4575.13,NA,NA
"P57729","P57729","RAB38_HUMAN","RAB38","Ras-related protein Rab-38",NA,197.42,22384.7,6050.76,NA,3039.98,4243.63,5812.42,2487.19,NA,NA,NA,NA,NA,NA,NA,1810.84,5209.21,NA,NA,NA,2784.13,1285.59,NA
"P58107","P58107","EPIPL_HUMAN","EPPK1","Epiplakin",4924.52,3653.46,8551.7,6199.03,7692.58,21695.8,13784.9,14142.6,6430.92,10425.4,11494.6,8030.66,22336.3,10585.6,8537.29,18194.4,112416,38695.2,7656.95,10525.7,20818.5,21854.5,57678.1,20906.8
"P58166","P58166","INHBE_HUMAN","INHBE","Inhibin beta E chain",277891,257324,85455.1,258844,329673,263459,397172,237034,316956,92261,292653,399837,268133,351446,429152,186915,282412,115001,245597,184845,260444,257701,202971,217329
"P58335;P58335-4","P58335-2;P58335-4;P58335;Q9H6X2-5;Q9H6X2","ANTR2_HUMAN","ANTXR2","Anthrax toxin receptor 2",26431.3,25431.9,5476.85,4975.45,15240.6,14533.7,13172.3,16184.4,30254.5,20599,24907.7,26329.2,18868.2,18206.6,24935.8,12750.9,14551.1,13051.2,10903.9,24869.1,14022,21580.3,20194,7689.09
"P58546","P58546","MTPN_HUMAN","MTPN","Myotrophin",NA,NA,5999.8,5073.09,NA,2195.62,NA,NA,NA,2287.2,NA,NA,NA,NA,NA,NA,NA,1280.77,NA,NA,NA,NA,1420.99,NA
"P59665;P59666","P59665;P59666","DEF1_HUMAN;DEF3_HUMAN","DEFA1;DEFA3","Neutrophil defensin 1",1094730,395737,818599,346582,532660,576271,746613,558669,1176700,247096,292773,804797,322452,390227,479730,423296,238330,491104,535873,352193,607841,516190,580985,433569
"P59998;P59998-3","P59998-2;P59998-3;P59998","ARPC4_HUMAN","ARPC4","Actin-related protein 2/3 complex subunit 4",31112.9,23436.8,155178,89141.2,20294.2,62054.7,55025.4,63337.1,19766.1,33689.6,14697.6,16611.9,29793,10152.2,23343.6,15160,78366.2,72385.7,9845.77,10273.9,25830.4,50611.3,22582.1,15988.2
"P60174;P60174-3","P60174-3;P60174-4;P60174","TPIS_HUMAN","TPI1","Triosephosphate isomerase",6733.4,7167.27,5843.64,11698.3,11530,16226.4,10390.5,12267.3,7007.87,19719.5,8908.46,18525.4,14323.4,6520.27,8243.86,15621,25306.3,17309.5,8790.12,4541.96,13754.1,13098.3,24371.4,15474.9
"P60201;P60201-2","P60201-2;P60201","MYPR_HUMAN","PLP1","Myelin proteolipid protein",NA,5787.4,5051.79,1407.7,11397.5,NA,4621.77,10895.4,5688.48,24166,7158.7,NA,NA,NA,NA,4637.51,NA,7031.91,11161.1,NA,11688.2,5352.93,5621.71,6400.14
"P60228","P60228","EIF3E_HUMAN","EIF3E","Eukaryotic translation initiation factor 3 subunit E",NA,NA,13778.6,6155.23,NA,NA,NA,NA,3436.07,NA,NA,3598.72,NA,NA,NA,NA,11410.8,5978.97,NA,NA,4388.89,5941.14,3746.37,NA
"P60468","P60468","SC61B_HUMAN","SEC61B","Protein transport protein Sec61 subunit beta",NA,NA,26012.8,4984.66,NA,6367.01,4364.17,2596.57,NA,NA,NA,NA,NA,NA,NA,NA,8025.7,7085.56,NA,NA,NA,7818.16,NA,NA
"P60660;P60660-2","P60660-2;P60660","MYL6_HUMAN","MYL6","Myosin light polypeptide 6",17632.9,13095.2,161225,69407.3,15685.2,47576.6,36722.9,33448.2,22670.8,20491.7,29675.7,36143,46093.6,10060.6,10656.7,8860.49,47880.3,66961.1,21796.8,31046.5,23400.2,47875.1,17760.7,6199.95
"P60709;P63261","P60709;P63261","ACTB_HUMAN;ACTG_HUMAN","ACTB;ACTG1","Actin, cytoplasmic 1",293683,210795,2442380,936345,305064,715185,587404,672394,306225,279394,328602,250296,602961,150855,235026,228584,1211540,1213700,208026,148038,455173,723980,448763,270284
"P60842","P60842;Q14240-2;Q14240","IF4A1_HUMAN","EIF4A1","Eukaryotic initiation factor 4A-I",11307.7,12423.9,75751.3,43723.6,18891.8,34549.2,41090.5,44996.7,12912.3,16572.5,17704.6,14287.2,39743.9,8221.12,13724.4,21691.5,72495,74036.3,31685.3,12437.7,28277.1,47745.9,30360.2,37727.8
"P60866;P60866-2","P60866-2;P60866","RS20_HUMAN","RPS20","40S ribosomal protein S20",9920.64,15607.6,20387,12819.5,NA,16012.2,NA,15476.4,12945.8,18798.2,6368.52,6605.99,NA,NA,7599.69,7478.61,13550.3,28829.1,2665.44,4295.56,27825,7987.7,25028,12553.9
"P60900","P60900","PSA6_HUMAN","PSMA6","Proteasome subunit alpha type-6",13750.1,8558.72,13032.1,6307.04,10705.3,23382.5,11903.5,13307.8,9532.18,19833.9,9645.48,7575.45,26676.3,12503.8,16851.4,19803.3,27549.9,20169.8,12756,13642.7,16915.5,20776.9,25926.1,24983.1
"P60903","P60903","S10AA_HUMAN","S100A10","Protein S100-A10",NA,NA,NA,NA,9432.22,12970,NA,NA,NA,NA,NA,NA,NA,NA,NA,15259.8,NA,3271.25,NA,NA,51814.7,NA,NA,NA
"P60953","P60953","CDC42_HUMAN","CDC42","Cell division control protein 42 homolog",6758.6,3409.62,42951.3,25274.8,5049.98,14510.6,12292.6,16457.7,9333.03,6482.63,3732.25,NA,11262,NA,4693.94,4006.35,16724.9,17468,NA,1176.77,3977.46,10973.2,4129.26,3684.2
"P60981;P60981-2","P60981-2;P60981","DEST_HUMAN","DSTN","Destrin",11941.9,12363.4,83626.7,30730.2,NA,33042.7,28932.3,49629.1,6485.09,13689.2,9680.52,7004.67,54163.3,NA,8571.77,12786.4,43132,40189.8,6314.09,NA,26321.5,28939.8,22777,14826.6
"P60985;P60985-2","P60985-2;P60985","KTDAP_HUMAN","KRTDAP","Keratinocyte differentiation-associated protein",157400,224666,69123.1,112137,205830,174075,191909,107486,167248,187557,129643,118275,202023,113389,185257,69002.1,138585,114892,131963,129631,162516,162100,262774,120008
"P61006","P61006-2;P61006;Q92930","RAB8A_HUMAN","RAB8A","Ras-related protein Rab-8A",18462.2,14355,100352,43396.5,20489.1,34184.2,35382.3,32483.9,13283.6,11278.7,8931.43,7712.66,20079.1,NA,7178.92,5479.47,42963.2,45290.8,3422.16,NA,8110.89,36319.4,8109.98,7295.7
"P61009","P61009","SPCS3_HUMAN","SPCS3","Signal peptidase complex subunit 3",2288.65,NA,16660.6,NA,2672.62,7394.73,NA,6521.12,NA,2746.64,NA,NA,NA,NA,3771.83,NA,NA,8003.98,NA,NA,6793.02,NA,1193.67,NA
"P61018;P61018-2","P61018-2;P61018","RAB4B_HUMAN","RAB4B","Ras-related protein Rab-4B",NA,NA,24824,4698.3,NA,4849.08,NA,5830.77,NA,NA,NA,NA,NA,NA,NA,NA,4043.34,9715.63,NA,NA,NA,4945.7,NA,NA
"P61019","P61019;Q8WUD1","RAB2A_HUMAN","RAB2A","Ras-related protein Rab-2A",5839.06,3388.6,31814.8,11054.8,3331.03,9977.91,17315.7,9422.35,4323.58,3319.85,6957.01,8283.66,4649.7,NA,NA,3296.36,11750.3,7146.79,5730.31,163.021,NA,8979.52,NA,NA
"P61020","P61020-2;P61020","RAB5B_HUMAN","RAB5B","Ras-related protein Rab-5B",2404.25,1474.08,36638.6,9100.17,1534.18,7280.86,NA,11368.8,3947.41,2871.99,2427.08,4049.65,8225.3,830.979,NA,NA,3356.97,17796.1,NA,NA,NA,5612.58,4057.14,NA
"P61026","P61026","RAB10_HUMAN","RAB10","Ras-related protein Rab-10",23233.3,9121.32,164451,64858.8,12780.7,41300.4,61722.5,38103.3,17161.4,14734.6,12207.1,7619.68,45718,7264.69,7405.96,6768.33,51301.3,59875.6,3891.17,2994.17,6843.98,43327.9,12262.4,6740.77
"P61077;P61077-2;P61077-3;P62837;P62837-2","P61077-2;P61077-3;P61077;P62837-2;P62837","UB2D2_HUMAN;UB2D3_HUMAN","UBE2D2;UBE2D3","Ubiquitin-conjugating enzyme E2 D3",3913.16,1790.74,9332.06,4704.73,3416.88,5000.99,2377.62,NA,3055.3,6933.18,5862.42,NA,9247.34,NA,3843.66,4791.17,15694.5,11557.9,NA,NA,2388.75,8435.1,8251.29,7312.91
"P61106","P61106","RAB14_HUMAN","RAB14","Ras-related protein Rab-14",19888.5,8140.41,250024,47548,13675.3,50239,27916.9,38651.2,17095.6,22192.8,10169.7,16848.7,50288.9,6210.95,5992.06,6307.69,61693.4,62129.4,NA,3261.96,15273.2,46195.5,14386.8,14190.6
"P61158","P61158","ARP3_HUMAN","ACTR3","Actin-related protein 3",12153.2,11161.3,143342,46645.4,14086.9,32285.6,29880.1,47747.5,12172.3,17885.6,13460.4,4690.19,20256.7,8466.32,13174.6,10723.5,58542.1,53036.1,7606.34,5073.36,15668.8,31350.8,12237.5,11488.6
"P61160","P61160-2;P61160","ARP2_HUMAN","ACTR2","Actin-related protein 2",12343.5,5495.53,77202.4,37137.5,8473.29,24835.4,19513.6,29163.2,15768.8,25178.5,9499.49,6506.51,23221.5,NA,12905.9,NA,31251.4,25524.1,13925.8,6475.8,12467.9,27579.6,9099.26,10032.3
"P61163","P42025;P61163","ACTZ_HUMAN","ACTR1A","Alpha-centractin",26847.6,NA,26168.5,2658.13,NA,11194.3,NA,NA,NA,NA,4065.96,NA,NA,NA,8611.87,NA,13632,11959.7,NA,NA,11139.6,7688.33,4251.48,2080.79
"P61201;P61201-2","P61201-2;P61201","CSN2_HUMAN","COPS2","COP9 signalosome complex subunit 2",NA,415.586,9161.53,1740.13,NA,5584.13,NA,2773.52,NA,345.763,NA,NA,NA,NA,NA,NA,4814.49,4639.06,NA,NA,NA,4016.05,NA,NA
"P61204;P84077","P61204-2;P61204;P84077","ARF1_HUMAN;ARF3_HUMAN","ARF1;ARF3","ADP-ribosylation factor 3",19579.7,15296.5,71398.9,92099.3,9412.69,31450.8,32979.4,54650.3,20282.5,12389.4,9638.84,13519.1,28271,16113.2,13262.5,9096.45,46969,80511.1,18968.2,8833.04,13210.5,41351.7,23598.5,24484.3
"P61221","P61221","ABCE1_HUMAN","ABCE1","ATP-binding cassette sub-family E member 1",NA,NA,7953.07,4500.8,NA,7404.17,NA,5220.09,NA,2837.34,NA,NA,NA,NA,NA,NA,4780.67,3975.4,NA,NA,NA,5116.4,NA,NA
"P61224;P61224-3","P61224-2;P61224-3;P61224;P62834","RAP1B_HUMAN","RAP1B","Ras-related protein Rap-1b",199239,166943,1902480,1709390,193946,616922,880310,827000,277233,212604,119976,115953,710736,115087,128620,93747.6,1210870,1602340,156386,46378.9,196110,573331,147465,98141.6
"P61225","P10114;P61225;Q9Y3L5","RAP2B_HUMAN","RAP2B","Ras-related protein Rap-2b",7039.69,3902.57,74352.7,15618.7,4064.68,20720.5,22705.5,10738.3,6833.63,5616.43,3027.48,NA,12877.6,5160.43,4446.15,6868.03,17329,14182.4,10606.5,5214.2,6733.98,10300.8,6524.05,3220.89
"P61247","P61247","RS3A_HUMAN","RPS3A","40S ribosomal protein S3a",NA,5286.47,7893.98,2042.75,4855.59,NA,NA,6211.69,NA,5254.27,8368.09,NA,NA,NA,1604.93,6813.16,9987.52,5442.37,10538.8,NA,7752.45,3252.17,NA,NA
"P61313","P61313","RL15_HUMAN","RPL15","60S ribosomal protein L15",NA,NA,NA,4069.41,NA,3605.51,NA,NA,NA,NA,NA,3532.97,NA,NA,NA,NA,5925.46,8081.03,1503.57,NA,7212.43,NA,4688.86,NA
"P61421","P61421","VA0D1_HUMAN","ATP6V0D1","V-type proton ATPase subunit d 1",NA,NA,11003.4,864.042,NA,2629.86,NA,NA,2496.16,NA,NA,NA,NA,NA,NA,NA,4063.08,3079.36,NA,NA,NA,4618.93,NA,NA
"P61586","P08134;P61586;P62745","RHOA_HUMAN","RHOA","Transforming protein RhoA",8818.17,6394.62,58714.5,45630.5,8984.47,21749.1,34296.6,19716.7,9331.27,8643.86,7308.48,6786.27,21817.1,5409.5,7096.92,2736.18,18372.5,32439.6,8074.59,4504.68,5947.13,16746.7,2166.79,7961.38
"P61604","P61604","CH10_HUMAN","HSPE1","10 kDa heat shock protein, mitochondrial",19239.6,23280.9,14662.1,14031.3,8501.03,14384.4,16064.3,13050.4,17618.8,11654.6,7091.4,29562.2,4523.57,NA,15552.4,15477.2,7619.56,11240.4,18663.1,1667.77,23031.3,12386.3,5131.28,19031.3
"P61619;Q9H9S3;Q9H9S3-2;Q9H9S3-3","P61619-3;P61619;Q9H9S3-2;Q9H9S3-3;Q9H9S3","S61A1_HUMAN;S61A2_HUMAN","SEC61A1;SEC61A2","Protein transport protein Sec61 subunit alpha isoform 1",NA,2831.38,26502.7,7028.72,NA,NA,NA,7515.04,NA,NA,1186.23,NA,NA,NA,NA,2521.87,5446.29,7490.39,NA,NA,NA,8226.76,3119.09,2326.31
"P61626","P61626","LYSC_HUMAN","LYZ","Lysozyme C",117870,85433.1,107713,61872.6,99183.8,156322,191219,197088,103171,82162.8,188596,90663,170951,144418,171889,197077,82680.4,88405.2,97230.8,160847,108288,177460,174215,270235
"P61758;P61758-2","P61758-2;P61758","PFD3_HUMAN","VBP1","Prefoldin subunit 3",NA,NA,7155.78,3103.44,NA,3116.43,NA,4340.7,NA,1940.9,NA,NA,NA,NA,NA,NA,4231.98,5399.96,NA,NA,5146.89,2586.62,NA,NA
"P61764;P61764-2","P61764-2;P61764","STXB1_HUMAN","STXBP1","Syntaxin-binding protein 1",NA,NA,13714.2,7414.3,NA,5775.7,NA,8092.49,726.789,1806.89,4658.19,NA,11571.2,NA,NA,682.759,2325.01,7762.74,NA,NA,NA,4935.67,NA,NA
"P61769","P61769","B2MG_HUMAN","B2M","Beta-2-microglobulin",8574.93,4817.65,56965.3,16117.2,10410.3,13163.7,25391.9,15242.8,17835.4,3754.59,8748.25,1399.36,18797,8275.42,3447.87,5493.82,22264.7,21989.7,8109.3,1010.78,NA,22158.2,7622.71,13138.9
"P61812;P61812-2","P61812-2;P61812","TGFB2_HUMAN","TGFB2","Transforming growth factor beta-2 proprotein",NA,NA,3324.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P61923;P61923-4","P61923-4;P61923-5;P61923","COPZ1_HUMAN","COPZ1","Coatomer subunit zeta-1",NA,NA,22944.4,4929.23,10370.4,2977.8,NA,4286.54,17486.1,NA,4050.93,NA,2189.11,NA,NA,NA,6251.28,4989.8,NA,NA,NA,NA,NA,NA
"P61962","P61962","DCAF7_HUMAN","DCAF7","DDB1- and CUL4-associated factor 7",NA,NA,5119.57,1010.49,NA,1441.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,1545.03,NA,2409.97,NA,1702.98,NA,NA,NA,NA
"P61978;P61978-2;P61978-3","P61978-2;P61978-3;P61978","HNRPK_HUMAN","HNRNPK","Heterogeneous nuclear ribonucleoprotein K",23736.1,13412.9,108627,73820.9,14691.1,42492.7,37730.9,35938.9,27475.9,26808.5,17221.5,28491.1,23656.6,33656,19634.1,33261.2,40975.8,61291.7,23270,16481.8,21841.6,37393,17742.4,26157.3
"P61981","P61981","1433G_HUMAN","YWHAG","14-3-3 protein gamma",4045.66,6675.67,7722.18,6465.85,4835.95,6990.35,8740.61,6276.12,7306.92,3684.21,6178.3,6437.53,3772.58,7486.97,1906.54,NA,7375.86,5220.85,4106.97,NA,2788.1,7580.65,4333.25,4425.85
"P62081","P62081","RS7_HUMAN","RPS7","40S ribosomal protein S7",3976.58,1629.22,1924.74,3653.53,NA,1846.77,NA,5005.2,794.686,1439.11,2155.67,6974.56,NA,NA,NA,7833.48,NA,7948.99,2347.27,NA,11836.5,NA,4359.76,7511.22
"P62136","P62136-2;P62136-3;P62136","PP1A_HUMAN","PPP1CA","Serine/threonine-protein phosphatase PP1-alpha catalytic subunit",7737.39,7181.98,48256.5,13226.5,8320.6,11793.6,18537.9,11895.7,10026.2,11633.9,NA,NA,11761.9,NA,8878.98,6916.93,18847.9,18522.5,NA,NA,5348.28,10827.1,6087.86,6567.56
"P62140","P62140","PP1B_HUMAN","PPP1CB","Serine/threonine-protein phosphatase PP1-beta catalytic subunit",NA,2259.53,18982.7,1999.01,NA,3476.37,NA,3822.89,NA,NA,NA,NA,6466.04,1234.8,NA,1715.89,7300.71,9108.25,NA,NA,NA,4985.44,5578.87,NA
"P62191","P62191-2;P62191","PRS4_HUMAN","PSMC1","26S proteasome regulatory subunit 4",2372.4,5714.66,26485,9436.47,4499.72,7330.27,11674.9,5666.68,3446.06,2749.84,4056.58,4410.78,1301.61,NA,NA,1862.82,9527.22,10470.8,10887.6,10491.8,6752.23,8078.87,5605.54,8130.73
"P62195;P62195-2","P62195-2;P62195","PRS8_HUMAN","PSMC5","26S proteasome regulatory subunit 8",8804.12,9708.62,41508.2,6538.66,4176.36,12412.2,16766.9,14908.1,6896.56,6075.85,7691.4,NA,10489.7,6059.93,4092.86,5326.21,17736.4,15177.3,13032.1,2535.5,6309.01,10733,6100.69,10699.4
"P62241","P62241","RS8_HUMAN","RPS8","40S ribosomal protein S8",NA,2816.36,5983.9,11440.1,4075.21,12184.1,4590.56,11189.3,NA,6696.88,NA,NA,6698.47,NA,NA,NA,10102,6818.44,NA,NA,35573.2,10628.5,6108.94,NA
"P62249","P62249","RS16_HUMAN","RPS16","40S ribosomal protein S16",5516.59,6842.46,7418.89,7832.78,4161.87,8414.94,5148.18,7261.58,4199.68,5549.61,2962.48,10785.8,4810.53,NA,3846.19,6886.04,9725.8,10074,5777.93,2077.51,20352,6987.57,6081.26,3660.82
"P62258;P62258-2","P62258-2;P62258","1433E_HUMAN","YWHAE","14-3-3 protein epsilon",8553.41,3749.9,17662.6,9122,5299.04,9038.53,19335.2,8050.07,11094,10676.6,3648.23,13997.8,17115.9,6945.78,3318.72,28620.7,26682.2,8447.14,15653.9,1603.02,12914.3,7467.49,5898.34,18317.4
"P62263","P62263","RS14_HUMAN","RPS14","40S ribosomal protein S14",NA,NA,NA,1881.77,NA,NA,1749.96,1595.94,1098.67,NA,2507.26,NA,NA,NA,NA,NA,NA,3812.42,NA,NA,15044.4,NA,NA,2699.39
"P62266","P62266","RS23_HUMAN","RPS23","40S ribosomal protein S23",3939.84,3089.12,8703.63,NA,1923.65,5073.33,NA,6286.28,5305.8,NA,NA,NA,5800.49,NA,NA,3745.49,7669.11,8433.37,8992.11,NA,31866.7,8152.62,6709.7,NA
"P62269","P62269","RS18_HUMAN","RPS18","40S ribosomal protein S18",4063.97,5348.1,9899.55,10256.4,7680.27,5147.55,NA,5682.62,3328.35,8666.2,7748.65,20969.3,NA,NA,3691.66,17786.7,6510.84,6538.55,2381.93,NA,22530.4,NA,9149.89,NA
"P62277","P62277","RS13_HUMAN","RPS13","40S ribosomal protein S13",9195.24,NA,10230,6710.05,NA,14081.5,NA,NA,13639.5,18860.5,3331.12,17870.8,10345.5,NA,8223.84,6881.61,NA,6101.05,2064.15,NA,27972.1,8402.85,12827.8,7016.32
"P62310","P62310","LSM3_HUMAN","LSM3","U6 snRNA-associated Sm-like protein LSm3",5581.68,3033.27,5790.65,6981.95,3418.36,6736.28,13544,8211.73,6992.67,11008.6,3552.1,4190.85,1301.13,11609.2,3357.54,5082.82,11926.6,7678.84,3248.67,476.475,10162,6708.56,3255.83,NA
"P62314","P62314","SMD1_HUMAN","SNRPD1","Small nuclear ribonucleoprotein Sm D1",3731.47,3632.31,11410,5769.54,5686.55,7850.92,5887.69,6696.64,1706.28,6357.7,6564.9,NA,NA,4065.17,3791.43,3485.74,10392.4,7608.89,1984.37,491.777,3529.8,7750.58,5874.94,2032.03
"P62318;P62318-2","P62318-2;P62318","SMD3_HUMAN","SNRPD3","Small nuclear ribonucleoprotein Sm D3",6913.76,5911.14,4669.1,5849.05,9521.24,14760.5,13183.7,9023.37,10499.8,14366.5,7258.02,6610.8,15582.1,9458.95,6947.96,10661.1,29761.2,17161.4,8777.82,4980.88,19688,14149.9,18859.2,12982.2
"P62330","P62330","ARF6_HUMAN","ARF6","ADP-ribosylation factor 6",NA,4082.9,4446.83,9637.24,NA,NA,NA,NA,NA,NA,4359.75,NA,NA,NA,2759.06,NA,4583.68,NA,NA,NA,NA,5105.52,1974.25,NA
"P62333","P62333","PRS10_HUMAN","PSMC6","26S proteasome regulatory subunit 10B",4268.94,2506.22,19892.4,6655.49,3421.69,6592.55,5499.94,7309.49,NA,6233.62,7149.46,4116.04,7574.12,2244.68,3743.43,NA,11180.3,8182.28,8865.36,NA,7394.69,10579.5,2852.99,NA
"P62341","P62341","SELT_HUMAN","SELENOT","Thioredoxin reductase-like selenoprotein T",1972.02,NA,5381.08,4081.83,NA,1126.02,NA,2341.03,NA,1341.98,NA,NA,4604.87,NA,NA,NA,3451.31,2529.39,NA,NA,NA,NA,NA,1499.24
"P62424","P62424","RL7A_HUMAN","RPL7A","60S ribosomal protein L7a",7069.85,3759.9,4327.04,6876.51,NA,5852.88,3878.47,7116.67,4209.32,5782.25,3777.42,5358.84,NA,4789.17,4404.87,5670.35,6666.25,13798.9,6688.09,3787.67,24875.1,8787.94,4668.82,7068.64
"P62495;P62495-2","P62495-2;P62495","ERF1_HUMAN","ETF1","Eukaryotic peptide chain release factor subunit 1",1806.47,3088.11,17305.2,14861.5,3761.86,4518.02,12318,7285.45,1884.88,5610.43,1854.62,4576.34,13019.4,2148.48,3072.56,2121.02,8141.45,15792.6,3777.29,2126.57,3069.37,8435.92,5805.56,2347.89
"P62701","P62701","RS4X_HUMAN","RPS4X","40S ribosomal protein S4, X isoform",1220.51,4327.63,10422.5,2749.94,NA,10371.3,1834.18,3353.35,4382.75,3690.52,2813.26,5893.87,NA,715.457,3575.09,3144.48,5399.57,6224.82,790.646,NA,11443.3,6727.29,5155.12,6574.21
"P62750","P62750","RL23A_HUMAN","RPL23A","60S ribosomal protein L23a",10511,1189.89,171.809,1568.97,1444.22,6549.1,10263,NA,14080.7,5330.39,2165.91,9468.45,NA,NA,855.651,7034.03,NA,940.338,4023.28,NA,2420.7,4787.35,NA,10429.5
"P62753","P62753","RS6_HUMAN","RPS6","40S ribosomal protein S6",1706.01,3750.51,8246.11,4942.91,NA,7566.9,2509.55,14959.3,NA,NA,1562.32,NA,9239.56,NA,2814.28,4155.03,10479.4,13285.6,NA,NA,15543.2,6561.13,10896.2,NA
"P62805","P62805","H4_HUMAN","H4C1","Histone H4",442222,119105,620244,235142,176137,264316,178240,219681,445869,165936,160292,272089,139681,108578,260709,170867,324176,160313,157260,73233.1,307776,266507,203127,199682
"P62820","P62820-2;P62820","RAB1A_HUMAN","RAB1A","Ras-related protein Rab-1A",NA,823.965,60834,12041.5,7057.42,11070.6,20747.7,14374.8,1308.19,2629.9,NA,NA,5629.93,NA,3443.33,2311.43,10153.7,18515.3,NA,NA,1136.43,11626.6,4154.82,NA
"P62826","P62826","RAN_HUMAN","RAN","GTP-binding nuclear protein Ran",20933.1,21507.9,61819.1,58521.3,8957.98,40272.2,59891.8,45759,16876.2,30293.6,16952.3,22367.3,52039.4,13690.7,13106.9,22033.2,60099.8,89574.1,82696.6,32943.4,28497.8,45950.5,31400.1,48629.6
